model_eff,task,depths,arm,k,filler_tokens,n,acc_k0,acc,paired_gain,gain_se,p_paired
gpt-6-astra:low,aimepp,None,XB,16384.0,16384,153,0.1568627450980392,0.19745222929936307,0.0457516339869281,0.019319052056551732,0.01787423275299216
gpt-6-astra:low,aimepp,None,RB,1.0,188,151,0.1568627450980392,0.19480519480519481,0.039735099337748346,0.020759943391626928,0.055616661818624236
gpt-6-astra:low,aimepp,None,RB,5.0,941,153,0.1568627450980392,0.21656050955414013,0.06535947712418301,0.022088266607056962,0.0030862566963112403
claude-opus-4-5-20251101:off,aimepp,None,CB,10.0,23,157,0.044585987261146494,0.044585987261146494,0.0,0.009036554505346999,1.0
claude-opus-4-5-20251101:off,aimepp,None,CB,30.0,63,157,0.044585987261146494,0.050955414012738856,0.006369426751592357,0.011055718632092966,0.564533698951148
claude-opus-4-5-20251101:off,aimepp,None,CB,100.0,203,157,0.044585987261146494,0.050955414012738856,0.006369426751592357,0.011055718632092966,0.564533698951148
claude-opus-4-5-20251101:off,aimepp,None,CB,300.0,603,157,0.044585987261146494,0.05732484076433121,0.012738853503184714,0.012738853503184714,0.31731050786291415
claude-opus-4-5-20251101:off,aimepp,None,CB,1000.0,2004,157,0.044585987261146494,0.06369426751592357,0.01910828025477707,0.01096122357726462,0.08128792804317753
claude-opus-4-5-20251101:off,aimepp,None,XB,4.0,4,157,0.044585987261146494,0.050955414012738856,0.006369426751592357,0.006369426751592358,0.31731050786291415
claude-opus-4-5-20251101:off,aimepp,None,XB,16.0,16,157,0.044585987261146494,0.03821656050955414,-0.006369426751592357,0.011055718632092966,0.564533698951148
claude-opus-4-5-20251101:off,aimepp,None,XB,64.0,64,157,0.044585987261146494,0.050955414012738856,0.006369426751592357,0.006369426751592358,0.31731050786291415
claude-opus-4-5-20251101:off,aimepp,None,XB,256.0,256,157,0.044585987261146494,0.05732484076433121,0.012738853503184714,0.008978812351725273,0.1559666044655612
claude-opus-4-5-20251101:off,aimepp,None,XB,300.0,300,157,0.044585987261146494,0.050955414012738856,0.006369426751592357,0.006369426751592359,0.31731050786291415
claude-opus-4-5-20251101:off,aimepp,None,XB,1024.0,1024,157,0.044585987261146494,0.06369426751592357,0.01910828025477707,0.014205905097489882,0.17859482277223693
claude-opus-4-5-20251101:off,aimepp,None,XB,4096.0,4096,157,0.044585987261146494,0.06369426751592357,0.01910828025477707,0.01096122357726462,0.08128792804317753
claude-opus-4-5-20251101:off,aimepp,None,RB,1.0,188,157,0.044585987261146494,0.050955414012738856,0.006369426751592357,0.006369426751592357,0.31731050786291415
