           model_eff    task arm    k  filler_tokens   n  acc  baseline   gain  gain_se  parse  compliant  max_reasoning_tokens
claude-fable-5-1:low mmlupro  RB    1            184 100 0.88     0.870  0.010    0.040   0.98       0.97                     7
claude-fable-5-1:low mmlupro  RB    3            555 100 0.87     0.870  0.000    0.041   0.98       0.98                     7
claude-fable-5-1:low mmlupro   C    1              0 100 0.72     0.870 -0.150    0.051   0.83       0.83                   297
claude-fable-5-1:low mmlupro   C    3              0 100 0.52     0.870 -0.350    0.055   0.59       0.59                   864
     gpt-6-astra:low mmlupro  XB   20             20 100 0.94     0.935  0.005    0.029   1.00       1.00                     0
     gpt-6-astra:low mmlupro  XB  140            140 100 0.92     0.935 -0.015    0.032   1.00       1.00                     0
     gpt-6-astra:low mmlupro  XB  700            700 100 0.94     0.935  0.005    0.029   1.00       1.00                     0
     gpt-6-astra:low mmlupro  XC   20             20 100 0.94     0.935  0.005    0.029   1.00       1.00                     0
     gpt-6-astra:low mmlupro  XC  140            140 100 0.92     0.935 -0.015    0.032   1.00       1.00                     0
     gpt-6-astra:low mmlupro  XC  700            700 100 0.95     0.935  0.015    0.028   1.00       0.99                     0
     gpt-6-astra:low mmlupro  CB   10             28 100 0.92     0.935 -0.015    0.032   1.00       1.00                     0
     gpt-6-astra:low mmlupro  CB   50            148 100 0.92     0.935 -0.015    0.032   1.00       1.00                     0
     gpt-6-astra:low mmlupro  CB  100            298 100 0.92     0.935 -0.015    0.032   1.00       1.00                     0
     gpt-6-astra:low mmlupro  CB  500           1498 100 0.97     0.935  0.035    0.024   1.00       1.00                     0
     gpt-6-astra:low mmlupro  CB 1000           2999 100 0.95     0.935  0.015    0.028   1.00       1.00                     0
     gpt-6-astra:low mmlupro  CC   10             28 100 0.94     0.935  0.005    0.029   1.00       1.00                     0
     gpt-6-astra:low mmlupro  CC  100            298 100 0.93     0.935 -0.005    0.031   1.00       1.00                     0
     gpt-6-astra:low mmlupro  RB    1            184 100 0.93     0.935 -0.005    0.031   1.00       1.00                     0
     gpt-6-astra:low mmlupro  RB    3            555 100 0.94     0.935  0.005    0.029   1.00       1.00                     0
     gpt-6-astra:low mmlupro   C    1              0 100 0.92     0.935 -0.015    0.032   1.00       1.00                     0
     gpt-6-astra:low mmlupro   C    3              0 100 0.94     0.935  0.005    0.029   1.00       1.00                     0

baselines (no filler):
                                acc    n
task    model_eff                       
gpqa    claude-fable-5-1:low  0.815  200
        gpt-4o:default        0.415  200
        gpt-5.6-sol:none      0.585  200
        gpt-6-astra:low       0.855  200
gsm8k   claude-fable-5-1:low  0.915  200
        gpt-4o:default        0.515  200
        gpt-5.6-sol:none      0.865  200
        gpt-6-astra:low       0.940  200
mmlupro claude-fable-5-1:low  0.870  200
        gpt-4o:default        0.320  200
        gpt-5.6-sol:none      0.765  200
        gpt-6-astra:low       0.935  200
fig -> /workspace/neuralese-filler/results/bench_dots/figs/bench_filler.png
